"run","experiment","metric_AUC","AUC_val","AUC_train","nr_params","avg_epoch_time","nr_flops","training_time_min","date","duration","model_config.train_data_file","tags","train_loss","val_loss","model_config.batch_size","model_config.dim_embedding_tissue","model_config.dim_embedding_token","model_config.dropout","model_config.epochs","model_config.gpu_id","model_config.hidden_size","model_config.model","model_config.num_workers","model_config.optimizer.lr","model_config.optimizer.name","model_config.save_freq","model_config.seed","model_config.val_freq","model_config.warmup","hash","checkpoint_stored","early_stopping","training_successful","model_config.binary_class","model_config.dev","model_config.early_stopper_delta","model_config.early_stopper_patience","model_config.frequency_features","model_config.optimizer.weight_decay","model_config.tissue_id","val_neg_auc","model_config.activation","model_config.bias","model_config.bidirectional","model_config.block_sizes","model_config.bn_momentum","model_config.conv1d_kernel_size","model_config.d_conv","model_config.d_state","model_config.dim_feedforward","model_config.expand","model_config.filter_len_conv1","model_config.filter_len_conv2","model_config.filter_per_group","model_config.final_ch","model_config.headdim","model_config.kernel_size","model_config.max_pool1","model_config.max_pool2","model_config.num_blocks","model_config.num_filters_conv1","model_config.num_filters_conv2","model_config.num_heads","model_config.num_layers","model_config.optimizer.momentum","model_config.padding","model_config.predictor_dropout","model_config.predictor_hidden_dim","model_config.resize_factor","model_config.rnn_hidden_size","model_config.se_reduction","model_config.slstm_at","model_config.stride_conv1","model_config.stride_conv2","train_neg_auc","best_epoch","R2_train","R2_val","model_config.kernel_size_conv1","model_config.kernel_size_conv2","model_config.m_qkv_proj_blocksize","model_config.num_kernels_conv1","model_config.num_kernels_conv2","model_config.optuna.n_startup_trials","model_config.optuna.n_trials","model_config.optuna.storage","model_config.optuna.study_name","model_config.optuna.timeout","model_config.param_tune","model_config.random_reverse","model_config.s_act_fn","model_config.s_proj_factor","model_config.val_fraction"
"Run: 2382c4f28c264cd29849087c","binary/mamba/10_mamba_fold-0","-","0.67698755","0.7195799","6017","0.01964048","2765968","0.8249","13:19:22 · 05 Dec, 24","1min 55sec","""codon_train_2.7k_data.pkl""","[object Object]","0.61193309","0.66135733","64","16","16","""-""","100","0","""-""","""mamba""","0","0.01","""adam""","1","2024","1","0","2382c4f28c264cd29849087c","1","1","1","True","False","0.01","5","False","""-""","-1","-0.66241445","""-""","""-""","""-""","""-""","""-""","""-""","3","16","""-""","2","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","1","""-""","""-""","0.1","64","""-""","""-""","""-""","""-""","""-""","""-""","-0.72525734","42","-","-","""-""","""-""","""-""","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""-""","""-""","0.15"
"Run: 18d92b0b9e194ae69c5b6643","binary/baseline/4_baseline_freq_fold-2","-","0.7118983","0.77921083","42449","0.04787245","41472","9.383","12:59:31 · 05 Dec, 24","10min 38sec","""codon_train_2.7k_data.pkl""","[object Object]","0.55263854","0.66242565","64","16","16","0.5","400","1","512","""baseline""","1","0.01","""adam""","1","2024","1","0","18d92b0b9e194ae69c5b6643","1","1","1","True","False","0.01","5","True","""-""","-1","-0.69905365","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","-0.78654519","196","-","-","""-""","""-""","""-""","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""-""","""-""","0.15"
"Run: e99ec3a1269d426080a4a247","binary/baseline/4_baseline_freq_fold-1","-","0.70024245","0.70046978","42449","0.04828444","41472","2.1728","12:55:06 · 05 Dec, 24","4min 24sec","""codon_train_2.7k_data.pkl""","[object Object]","0.61081173","0.63735343","64","16","16","0.5","400","1","512","""baseline""","1","0.01","""adam""","1","2024","1","0","e99ec3a1269d426080a4a247","1","1","1","True","False","0.01","5","True","""-""","-1","-0.6892662","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","-0.72680018","45","-","-","""-""","""-""","""-""","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""-""","""-""","0.15"
"Run: 3b6d2282f5614bfb9497b2b6","binary/baseline/4_baseline_freq_fold-0","-","0.72263546","0.73353686","42449","0.04466931","41472","4.5116","12:47:10 · 05 Dec, 24","7min 55sec","""codon_train_2.7k_data.pkl""","[object Object]","0.57831049","0.63833404","64","16","16","0.5","400","1","512","""baseline""","1","0.01","""adam""","1","2024","1","0","3b6d2282f5614bfb9497b2b6","1","1","1","True","False","0.01","5","True","""-""","-1","-0.71219095","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","-0.76152421","101","-","-","""-""","""-""","""-""","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""-""","""-""","0.15"
"Run: 0cfae314deb74d78975f5d82","binary/baseline/8_baseline_fold-2","-","0.64862434","0.6942916","44276097","0.1296","44269696","0.5184","17:02:00 · 04 Dec, 24","2min 13sec","""codon_train_2.7k_data.pkl""","[object Object]","0.11665383","1.24792857","64","64","64","0.1","100","1","256","""baseline""","1","0.001","""adam""","1","2024","1","0","0cfae314deb74d78975f5d82","1","1","1","True","False","0.01","5","False","""-""","-1","-0.62796748","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","-0.99181453","4","-","-","""-""","""-""","""-""","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_3""","86400","""-""","True","""-""","""-""","0.15"
"Run: f06ff0ed862a4414b5325b38","binary/baseline/8_baseline_fold-1","-","0.64344089","0.7742312","44276097","0.13168","44269696","0.6584","16:59:54 · 04 Dec, 24","2min 6sec","""codon_train_2.7k_data.pkl""","[object Object]","0.12943067","1.33199282","64","64","64","0.1","100","1","256","""baseline""","1","0.001","""adam""","1","2024","1","0","f06ff0ed862a4414b5325b38","1","1","1","True","False","0.01","5","False","""-""","-1","-0.61675983","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","-0.98899389","5","-","-","""-""","""-""","""-""","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_3""","86400","""-""","True","""-""","""-""","0.15"
"Run: 95cd4edb71da442a8cce2d28","binary/baseline/8_baseline_fold-0","-","0.64817731","0.74040245","44276097","0.13722","44269696","0.6861","16:57:40 · 04 Dec, 24","2min 13sec","""codon_train_2.7k_data.pkl""","[object Object]","0.16054621","1.11866277","64","64","64","0.1","100","1","256","""baseline""","1","0.001","""adam""","1","2024","1","0","95cd4edb71da442a8cce2d28","1","1","1","True","False","0.01","5","False","""-""","-1","-0.63467542","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","-0.98370488","5","-","-","""-""","""-""","""-""","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_3""","86400","""-""","True","""-""","""-""","0.15"
"Run: 3fd36cce90ab4e2497d393cb","regr/LEGnet/3_LEGnet","-","-","-","4563597","7.21267143","152184730","50.4887","14:46:59 · 26 Nov, 24","1hrs 41min","""codon_train_2.7k_data.pkl""","","0.29502995","0.9345827","64","32","32","""-""","100","1","""-""","""LEGnet""","1","0.001","""adam""","1","2024","1","0","3fd36cce90ab4e2497d393cb","1","1","1","False","False","0.01","7","False","0.1","-1","-","""gelu""","""-""","""-""","[256, 256, 128, 128, 64, 64, 32, 32]","0.1","""-""","""-""","""-""","""-""","""-""","""-""","""-""","2","18","""-""","11","""-""","""-""","""-""","""-""","""-""","""-""","""-""","0.9","""-""","0.1","64","4","""-""","4","""-""","""-""","""-""","-","-","0.12841141","0.13304194","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","False","True","""-""","""-""","""-"""
"Run: 981bab3230f2404ea8045f73","binary/gru/19_gru","-","0.70570407","0.68694069","616817","0.213144","17728","5.3286","12:13:12 · 26 Nov, 24","7min 24sec","""codon_train_2.7k_data.pkl""","","0.58771163","0.67690071","64","8","8","0.2","200","0","""-""","""gru""","1","0.001","""adam""","1","2024","1","0","981bab3230f2404ea8045f73","1","1","1","True","False","0.01","7","False","0.1","-1","-0.67990913","""-""","""-""","False","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","2","""-""","""-""","0.1","64","""-""","256","""-""","""-""","""-""","""-""","-0.7471608","-","-","-","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","True","""-""","""-""","""-"""
"Run: 27c0618038e24624ba9ec584","binary/gru/18_gru","-","0.6949074","0.68364997","616817","0.222024","17728","5.5506","12:10:45 · 26 Nov, 24","8min 46sec","""codon_train_2.7k_data.pkl""","","0.52480606","0.72629182","64","8","8","0.2","200","1","""-""","""gru""","1","0.001","""adam""","1","2024","1","0","27c0618038e24624ba9ec584","1","1","1","True","False","0.01","7","False","0.1","-1","-0.66937576","""-""","""-""","False","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","2","""-""","""-""","0.1","64","""-""","256","""-""","""-""","""-""","""-""","-0.81196092","-","-","-","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","True","""-""","""-""","""-"""
"Run: a107c974a4b540a58fd17c30","binary/LEGnet/6_LEGnet","-","0.71182228","0.71378069","4563597","0.65210435","152184730","44.9952","16:56:26 · 25 Nov, 24","57min 18sec","""codon_train_2.7k_data.pkl""","","0.60894069","0.63978323","64","32","32","""-""","100","0","""-""","""LEGnet""","1","0.001","""adam""","1","2024","1","0","a107c974a4b540a58fd17c30","1","1","1","True","False","0.01","7","False","0.1","-1","-0.69131784","""gelu""","""-""","""-""","[256, 256, 128, 128, 64, 64, 32, 32]","0.1","""-""","""-""","""-""","""-""","""-""","""-""","""-""","2","18","""-""","11","""-""","""-""","""-""","""-""","""-""","""-""","""-""","0.9","""-""","0.1","64","4","""-""","4","""-""","""-""","""-""","-0.72902464","-","-","-","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-"""
"Run: 4934882a3c6b46a59325c6d9","binary/gru/17_gru","-","0.67021187","0.64706972","616817","0.22900625","17728","3.6641","16:50:39 · 25 Nov, 24","6min 12sec","""codon_train_2.7k_data.pkl""","","0.66585227","0.65910082","64","8","8","0.2","200","1","""-""","""gru""","1","0.001","""adam""","1","2024","1","0","4934882a3c6b46a59325c6d9","1","1","1","True","False","0.01","7","False","0.1","-1","-0.65539008","""-""","""-""","False","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","2","""-""","""-""","0.1","64","""-""","256","""-""","""-""","""-""","""-""","-0.6350072","-","-","-","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-"""
"Run: dc98b49de1ba4a8a98e8faa9","binary/baseline/6_baseline","-","0.65714774","0.67801071","5563633","0.0484","5562496","0.242","16:48:47 · 25 Nov, 24","1min 17sec","""codon_train_2.7k_data.pkl""","","0.15863238","1.35719944","64","8","8","0.2","100","0","256","""baseline""","1","0.001","""adam""","1","2024","1","0","dc98b49de1ba4a8a98e8faa9","1","1","1","True","False","0.01","7","False","0.1","-1","-0.61339732","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","-0.98466732","-","-","-","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-"""
"Run: afa304ff1b3e4fea8cf15181","binary/mamba/9_mamba","-","0.66108743","0.63304323","36673","0.04976667","11061472","0.1493","16:48:44 · 25 Nov, 24","1min 10sec","""codon_train_2.7k_data.pkl""","","0.6203053","0.68176804","64","32","32","""-""","200","1","""-""","""mamba""","0","0.001","""adam""","1","2024","1","0","afa304ff1b3e4fea8cf15181","1","1","1","True","False","0.01","7","False","0.1","-1","-0.63312447","""-""","""-""","""-""","""-""","""-""","""-""","4","128","""-""","2","""-""","""-""","""-""","""-""","8","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","0.1","64","""-""","""-""","""-""","""-""","""-""","""-""","-0.71501232","-","-","-","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-"""
"Run: f697360021bd43f58cfd2d87","binary/baseline/4_baseline","0.64605695","-","-","5563633","0.05075556","5562496","0.4568","12:25:53 · 25 Nov, 24","1min 30sec","""codon_train_2.7k_data.pkl""","","0.13978008","1.34075472","64","8","8","0.2","100","1","256","""baseline""","1","0.001","""adam""","1","2024","1","0","f697360021bd43f58cfd2d87","1","1","1","True","False","0.01","7","False","0.1","-1","-0.61098071","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","-","-","-","-","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-"""
"Run: 5d12c33d303e44eab8c4ddb0","binary/mamba/7_mamba","0.66209721","-","-","36673","0.05512","11061472","0.5512","18:44:09 · 22 Nov, 24","1min 55sec","""codon_train_2.7k_data.pkl""","","0.57581493","0.71196144","64","32","32","""-""","200","0","""-""","""mamba""","0","0.001","""adam""","1","2024","1","0","5d12c33d303e44eab8c4ddb0","1","1","1","True","False","0.01","7","False","0.1","-1","-0.62506302","""-""","""-""","""-""","""-""","""-""","""-""","4","128","""-""","2","""-""","""-""","""-""","""-""","8","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","0.1","64","""-""","""-""","""-""","""-""","""-""","""-""","-","-","-","-","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-"""
"Run: 849932f3559a40dc83baa95c","binary/mamba/6_mamba","0.64179514","-","-","8081","0.037844","691816","0.9461","18:41:47 · 22 Nov, 24","2min 19sec","""codon_train_2.7k_data.pkl""","","0.63615979","0.67772154","64","8","8","""-""","200","1","""-""","""mamba""","0","0.001","""adam""","1","2024","1","0","849932f3559a40dc83baa95c","1","1","1","True","False","0.01","7","False","0.1","-1","-0.62516666","""-""","""-""","""-""","""-""","""-""","""-""","4","128","""-""","2","""-""","""-""","""-""","""-""","8","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","0.1","64","""-""","""-""","""-""","""-""","""-""","""-""","-","-","-","-","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-"""
"Run: 4da9479fd1694126ad109232","binary/cnn/3_cnn","0.68533758","-","-","157265","0.05168261","19936","1.1887","18:32:43 · 22 Nov, 24","2min 37sec","""codon_train_2.7k_data.pkl""","","0.44176836","0.88891188","64","8","8","""-""","200","1","""-""","""cnn""","1","0.001","""adam""","1","2024","1","0","4da9479fd1694126ad109232","1","1","1","True","False","0.01","7","False","0.1","-1","-0.63377291","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","6","9","""-""","""-""","""-""","""-""","30","10","""-""","128","32","""-""","""-""","0.9","""same""","0.1","64","""-""","""-""","""-""","""-""","1","1","-","-","-","-","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-"""
"Run: e31ec54c161349689e6b4f8d","binary/LEGnet/5_LEGnet","0.70746804","-","-","4493757","0.66045652","152184730","30.381","18:06:41 · 22 Nov, 24","31min 52sec","""codon_train_2.7k_data.pkl""","","0.63887625","0.63564795","64","8","8","""-""","100","0","""-""","""LEGnet""","1","0.001","""adam""","1","2024","1","0","e31ec54c161349689e6b4f8d","1","1","1","True","False","0.01","7","False","0.1","-1","-0.69425335","""gelu""","""-""","""-""","[256, 256, 128, 128, 64, 64, 32, 32]","0.1","""-""","""-""","""-""","""-""","""-""","""-""","""-""","2","18","""-""","11","""-""","""-""","""-""","""-""","""-""","""-""","""-""","0.9","""-""","0.1","64","4","""-""","4","""-""","""-""","""-""","-","-","-","-","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-"""
"Run: b2a3f61a2dbc4c11ac853d8c","binary/gru/15_gru","0.66111614","-","-","616817","0.29934167","17728","7.1842","18:05:38 · 22 Nov, 24","8min 34sec","""codon_train_2.7k_data.pkl""","","0.47433704","0.86097951","64","8","8","0.2","200","1","""-""","""gru""","1","0.001","""adam""","1","2024","1","0","b2a3f61a2dbc4c11ac853d8c","1","1","1","True","False","0.01","7","False","0.1","-1","-0.59228855","""-""","""-""","False","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","2","""-""","""-""","0.1","64","""-""","256","""-""","""-""","""-""","""-""","-","-","-","-","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-"""
"Run: 3f53c1967a8f4b90a4527bc9","binary/gru/14_gru","0.67035613","-","-","616817","0.29091538","17728","7.5638","17:53:20 · 22 Nov, 24","8min 53sec","""codon_train_2.7k_data.pkl""","","0.44636306","0.87821088","64","8","8","0.2","200","1","""-""","""gru""","1","0.001","""adam""","1","2024","1","0","3f53c1967a8f4b90a4527bc9","1","1","1","True","False","0.01","7","False","0.1","-1","-0.61328878","""-""","""-""","False","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","2","""-""","""-""","0.1","64","""-""","256","""-""","""-""","""-""","""-""","-","-","-","-","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-"""
"Run: b99788affd0343d989c03217","binary/gru/13_gru","0.69769725","-","-","621041","0.29057586","22144","8.4267","16:55:02 · 22 Nov, 24","9min 48sec","""codon_train_2.7k_data.pkl""","","0.63881501","0.64894236","64","8","8","0.2","200","0","""-""","""gru""","1","0.001","""adam""","1","2024","1","0","b99788affd0343d989c03217","1","1","1","True","False","0.01","7","False","0.1","-1","-0.67620333","""-""","""-""","False","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","2","""-""","""-""","0.1","64","""-""","256","""-""","""-""","""-""","""-""","-","-","-","-","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-"""
"Run: 4bb38d8f64b8487eb7890d5e","binary/gru/12_gru","0.67015725","-","-","616817","0.30892857","17728","8.65","16:53:23 · 22 Nov, 24","9min 59sec","""codon_train_2.7k_data.pkl""","","0.58250259","0.69594959","64","8","8","0.2","200","1","""-""","""gru""","1","0.001","""adam""","1","2024","1","0","4bb38d8f64b8487eb7890d5e","1","1","1","True","False","0.01","7","False","0.1","-1","-0.63521966","""-""","""-""","False","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","2","""-""","""-""","0.1","64","""-""","256","""-""","""-""","""-""","""-""","-","-","-","-","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-"""
"Run: 4c4fcb6613c34281b18d626a","binary/gru/10_gru","0.67328043","-","-","619625","0.26114762","19936","5.4841","16:35:24 · 22 Nov, 24","6min 52sec","""codon_train_2.7k_data.pkl""","","0.37238321","0.87480972","64","32","8","0.2","200","1","""-""","""gru""","1","0.001","""adam""","1","2024","1","0","4c4fcb6613c34281b18d626a","1","1","1","True","False","0.01","7","False","0.1","-1","-0.62347903","""-""","""-""","False","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","2","""-""","""-""","0.1","64","""-""","256","""-""","""-""","""-""","""-""","-","-","-","-","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-"""
"Run: 4dc95355f0154142886a2741","binary/gru/9_gru","0.6689696","-","-","639617","0.2522375","19936","4.0358","16:25:24 · 22 Nov, 24","5min 22sec","""codon_train_2.7k_data.pkl""","","0.45439394","0.82745304","64","32","32","0.2","200","1","""-""","""gru""","1","0.001","""adam""","1","2024","1","0","4dc95355f0154142886a2741","1","1","1","True","False","0.01","7","False","0.1","-1","-0.60771607","""-""","""-""","False","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","2","""-""","""-""","0.1","64","""-""","256","""-""","""-""","""-""","""-""","-","-","-","-","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-"""
