,Tissue,Train AUC,Train F1,Train Accuracy,Train Precision,Train Recall,Test AUC,Test F1,Test Accuracy,Test Precision,Test Recall,Train Time (s)
0,Adrenal,1.0,1.0,1.0,1.0,1.0,0.46286231884057966,0.5901639344262295,0.46808510638297873,0.47368421052631576,0.782608695652174,0.2952761650085449
1,Appendices,1.0,1.0,1.0,1.0,1.0,0.567807682257643,0.045454545454545456,0.6818181818181818,1.0,0.023255813953488372,0.5465083122253418
2,Brain,1.0,1.0,1.0,1.0,1.0,0.5430474333983105,0.8080808080808081,0.680672268907563,0.6837606837606838,0.9876543209876543,0.7409641742706299
3,Colon,1.0,1.0,1.0,1.0,1.0,0.7899113082039912,0.704225352112676,0.7529411764705882,0.8333333333333334,0.6097560975609756,0.3762381076812744
4,Duodenum,1.0,1.0,1.0,1.0,1.0,0.5658823529411764,0.37209302325581395,0.5423728813559322,0.4444444444444444,0.32,0.31129932403564453
5,Uterus,1.0,1.0,1.0,1.0,1.0,0.5811781609195402,0.7246376811594203,0.6415094339622641,0.625,0.8620689655172413,0.260761022567749
6,Esophagus,1.0,1.0,1.0,1.0,1.0,0.4775833788955714,0.09302325581395349,0.5666666666666667,0.16666666666666666,0.06451612903225806,0.40657687187194824
7,Fallopiantube,1.0,1.0,1.0,1.0,1.0,0.6275388291517323,0.7692307692307693,0.6629213483146067,0.7352941176470589,0.8064516129032258,0.3533053398132324
8,Fat,1.0,1.0,1.0,1.0,1.0,0.5734649122807017,0.09302325581395349,0.7328767123287672,0.4,0.05263157894736842,0.7114903926849365
9,Gallbladder,1.0,1.0,1.0,1.0,1.0,0.6081818181818182,0.43478260869565216,0.6231884057971014,0.47619047619047616,0.4,0.31137943267822266
10,Heart,1.0,1.0,1.0,1.0,1.0,0.528186274509804,0.29411764705882354,0.6097560975609756,0.5882352941176471,0.19607843137254902,0.5827150344848633
11,Kidney,1.0,1.0,1.0,1.0,1.0,0.7980205278592376,0.704,0.7109375,0.6984126984126984,0.7096774193548387,0.5108938217163086
12,Liver,1.0,1.0,1.0,1.0,1.0,0.5552884615384615,0.36619718309859156,0.6186440677966102,0.41935483870967744,0.325,0.46418023109436035
13,Lung,1.0,1.0,1.0,1.0,1.0,0.7030891438658429,0.8103448275862069,0.7215189873417721,0.7286821705426356,0.912621359223301,0.7851376533508301
14,Lymphnode,1.0,1.0,1.0,1.0,1.0,0.5565714285714286,0.6060606060606061,0.5666666666666667,0.6451612903225806,0.5714285714285714,0.3574659824371338
15,Ovary,1.0,1.0,1.0,1.0,1.0,0.47152194211017745,0.4878048780487805,0.5190839694656488,0.5454545454545454,0.4411764705882353,0.6178765296936035
16,Pancreas,1.0,1.0,1.0,1.0,1.0,0.6483229272542471,0.5196850393700787,0.6369047619047619,0.5892857142857143,0.4647887323943662,0.7270829677581787
17,Placenta,1.0,1.0,1.0,1.0,1.0,0.47307692307692306,0.6153846153846154,0.5121951219512195,0.6153846153846154,0.6153846153846154,0.39412975311279297
18,Prostate,1.0,1.0,1.0,1.0,1.0,0.7501581277672359,0.6956521739130435,0.7439024390243902,0.631578947368421,0.7741935483870968,0.3696284294128418
19,Rectum,1.0,1.0,1.0,1.0,1.0,0.653103448275862,0.6557377049180327,0.6111111111111112,0.625,0.6896551724137931,0.28836798667907715
20,Salivarygland,1.0,1.0,1.0,1.0,1.0,0.6558922558922559,0.6436781609195402,0.6025641025641025,0.6666666666666666,0.6222222222222222,0.4057624340057373
21,Smallintestine,1.0,1.0,1.0,1.0,1.0,0.6834975369458128,0.7142857142857143,0.6491228070175439,0.5952380952380952,0.8928571428571429,0.28902673721313477
22,Smoothmuscle,0.9999999999999999,1.0,1.0,1.0,1.0,0.6533333333333334,0.6842105263157895,0.6210526315789474,0.7222222222222222,0.65,0.40083980560302734
23,Spleen,1.0,1.0,1.0,1.0,1.0,0.6163127413127413,0.5573770491803278,0.5846153846153846,0.5151515151515151,0.6071428571428571,0.30495429039001465
24,Stomach,1.0,1.0,1.0,1.0,1.0,0.4607843137254902,0.6842105263157895,0.5636363636363636,0.6190476190476191,0.7647058823529411,0.27702760696411133
25,Testis,1.0,1.0,1.0,1.0,1.0,0.4998196898665705,0.7161572052401747,0.5751633986928104,0.6074074074074074,0.8723404255319149,0.5894231796264648
26,Thyroid,0.9999999999999999,1.0,1.0,1.0,1.0,0.7594178082191779,0.7757575757575758,0.672566371681416,0.6956521739130435,0.8767123287671232,0.46944093704223633
27,Tonsil,1.0,1.0,1.0,1.0,1.0,0.7116279069767442,0.6595744680851063,0.6559139784946236,0.7045454545454546,0.62,0.40184450149536133
28,Urinarybladder,0.9999999999999999,1.0,1.0,1.0,1.0,0.5943548387096774,0.32558139534883723,0.5915492957746479,0.5833333333333334,0.22580645161290322,0.36731386184692383
